X,Y
-111.911099,40.738875
-111.975811,40.727948
-111.960787,40.740383
-112.063399,40.7255
-111.969787,40.7403
-111.942361,40.73067
-111.974851,40.7405
-111.906148,40.7737
-111.912307,40.790733
-111.912308,40.790734
-111.912273,40.790749
-111.910591,40.785795
-111.920729,40.809998
-111.92045,40.814816
-111.91498,40.803658
-111.885087,40.7606
-98.491452,29.562158
-98.490632,29.563333
-98.392679,29.3864
-98.393239,29.386259
-98.636756,29.583617
-98.587799,29.413474
-98.546431,29.490083
-98.539703,29.4843
-98.539767,29.4843
-98.476159,29.42119
-96.863909,32.85649
-96.879448,32.855308
-96.864631,32.857492
-96.86779,32.819813
-96.842548,32.829495
-96.85642,32.821215
-98.476159,29.42119
-98.49374,29.425755
-98.497281,29.433274
-98.404171,29.490329
-98.402845,29.490401
-98.379999,29.4841
-98.431029,29.568548
-98.43014,29.568664
-98.502599,29.552414
-98.497281,29.433274
-98.663577,29.483236
-98.665829,29.488456
-98.669217,29.486015
-98.505121,29.526026
-98.505855,29.549243
-98.494643,29.526817
-98.504458,29.526571
-98.676684,29.417956
-98.431306,29.364602
-98.448299,29.374976
-98.437868,29.361967
-98.636756,29.583617
-98.431029,29.568548
-98.43014,29.568664
-98.573376,29.470819
-98.50293,29.412597
-98.534899,29.482091
-98.53725,29.479849
-98.539003,29.477408
-98.485944,29.356739
-98.638817,29.479412
-98.639097,29.479313
-98.540999,29.31844
-98.550598,29.334749
-98.413583,29.566075
-98.427254,29.554809
-98.423789,29.539699
-98.470876,29.591579
-98.462498,29.515502
-98.498166,29.4862
-98.404599,29.390851
-98.431306,29.364602
-98.65025,29.469612
-98.638193,29.458601
-98.645591,29.465578
-98.650503,29.469627
-98.558368,29.38875
-98.555292,29.357883
-98.552495,29.357769
-98.66127,29.39582
-98.669217,29.486015
-98.474088,29.588429
-98.50416,29.4899
-98.49916,29.495987
-98.359561,29.465777
-98.444258,29.488861
-98.448865,29.485586
-98.481517,29.610389
-98.450986,29.643364
-98.480708,29.609377
-98.518816,29.62924
-96.868351,32.75732
-96.871539,32.715531
-96.874607,32.7155
-98.558368,29.38875
-98.568027,29.391616
-98.568027,29.391616
-98.556488,29.399732
-98.605187,29.466304
-98.589182,29.478507
-98.602582,29.461548
-98.65025,29.469612
-98.645591,29.465578
-98.650503,29.469627
-98.432331,29.4394
-98.569068,29.524332
-98.557633,29.525911
-98.569503,29.513286
-98.570515,29.552831
-98.531934,29.519082
-98.475091,29.447481
-98.428599,29.4957
-98.432843,29.489543
-98.444258,29.488861
-98.432843,29.489543
-98.437478,29.491953
-98.448865,29.485586
-98.523986,29.452845
-96.766855,32.905893
-96.766736,32.916345
-96.754542,32.933661
-96.754972,32.922263
-96.769399,32.90694
-96.754731,32.921984
-96.756345,32.934408
-96.767324,32.897445
-96.746129,32.864609
-96.741478,32.866363
-96.762603,32.874611
-96.767069,32.86571
-96.740468,32.865091
-98.603852,29.546923
-96.842548,32.829495
-96.824175,32.82706
-96.819419,32.8512
-96.823802,32.827508
-96.793129,32.7464
-96.824748,32.743152
-96.891898,32.780299
-96.823328,32.788231
-96.82611,32.791161
-96.821767,32.787778
-96.822574,32.767
